0.021246 50.0
0.023802 64.6465
0.023802 79.2929
0.025719 93.9394
0.030831 108.586
0.039297 123.232
0.040096 137.879
0.033067 152.525
0.036422 167.172
0.042013 181.818
0.03131 196.465
0.028594 211.111
0.022684 225.758
0.022684 240.404
0.020607 255.051
0.020607 269.697
0.021565 284.343
0.022364 298.99
0.022364 313.636
0.023163 328.283
0.023163 342.929
0.021246 357.576
0.021246 372.222
0.025399 386.869
0.020447 401.515
0.019808 416.162
0.019808 430.808
0.019808 445.455
0.020447 460.101
0.019649 474.747
0.019649 489.394
0.018371 504.04
0.016773 518.687
0.016773 533.333
0.016773 547.98
0.015815 562.626
0.015655 577.273
0.015655 591.919
0.015815 606.566
0.015815 621.212
0.015815 635.859
0.015815 650.505
0.014856 665.152
0.015495 679.798
0.016933 694.444
0.015974 709.091
0.014377 723.737
0.014696 738.384
0.014217 753.03
0.014217 767.677
0.01278 782.323
0.01278 796.97
0.01278 811.616
0.011502 826.263
0.011182 840.909
0.011182 855.556
0.011182 870.202
0.011821 884.848
0.011821 899.495
0.0123 914.141
0.0123 928.788
0.0123 943.434
0.011981 958.081
0.011981 972.727
0.012141 987.374
0.012141 1002.02
0.012141 1016.67
0.010703 1031.31
0.010703 1045.96
0.011502 1060.61
0.011022 1075.25
0.011661 1089.9
0.011981 1104.55
0.011981 1119.19
0.009425 1133.84
0.009105 1148.48
0.009105 1163.13
0.009265 1177.78
0.008946 1192.42
0.008946 1207.07
0.007987 1221.72
0.007987 1236.36
0.007668 1251.01
0.007029 1265.66
0.00639 1280.3
0.005431 1294.95
0.005431 1309.6
0.005272 1324.24
0.005272 1338.89
0.004633 1353.54
0.004633 1368.18
0.004633 1382.83
0.003195 1397.47
0.002716 1412.12
0.002716 1426.77
0.002556 1441.41
0.001917 1456.06
0.001917 1470.71
0.002077 1485.35
0.001278 1500.0
